Tweet,Geo,Location
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
"@narendramodi @YashwantSinha @AmitShah @AmitShahOffice @DilipGhoshBJP @drmmjoshibjp @MenonArvindBJP @KailashOnline @amitmalviya @keyakahe A Few Months Earlier The very Same Guy was associated with RJD, with his own party, In The Quest to win Bihar Elections! Nice Party-Hopping @YashwantSinha ! His own son was an Union Minister, himself was an Union Minister in the Bharat Ratna Late Vajpayeeji's Cabinet!Unsatisfied!",,
Congrats,,"Uttar Pradesh, India "
RT @BachchuHansda: BJP Bengal President Dilip Ghosh has disrespected and insulted Bengali culture and sentiments. In an open discussion on…,,
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,india
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
@DilipGhoshBJP Keventer Agro to expand milk collection centres in West Bengal https://t.co/XtBf5WiS2S via @economictimes,,
"@narendramodi @YashwantSinha @AmitShah @AmitShahOffice @DilipGhoshBJP @drmmjoshibjp @MenonArvindBJP @KailashOnline @amitmalviya @keyakahe A Few Months Earlier The very Same Guy was associated with RJD, with his own party, In The Quest to win Bihar Elections! Nice Party-Hopping @YashwantSinha ! His own son was an Union Minister, himself was an Union Minister in the Bharat Ratna Late Vajpayeeji's Cabinet!Unsatisfied!",,
"@DilipGhoshBJP ITC lines up Rs 10,000-cr investment to boost food processing business https://t.co/r9lQ0UVurJ",,
@TimesNow @DilipGhoshBJP @MamataOfficial @navikakumar Madam is God. TMC people joining BJP and BJP people here joining Navika Kumar🤣,,India
"@DilipGhoshBJP Mukesh Ambani-led Reliance Jio to invest over Rs 1,000 crore in West Bengal https://t.co/v1BU9i1Jz1 via @BT_India",,
"RT @RahulSinhaBJP: Sharing a moment from Kolkata Airport before leaving for Delhi for an Urgent Election Meeting with @DilipGhoshBJP, @SuPr…",,
"@AmitShah @narendramodi @YashwantSinha @AmitShahOffice @DilipGhoshBJP @drmmjoshibjp @MenonArvindBJP @KailashOnline @amitmalviya @keyakahe A Few Months Earlier The very Same Guy was associated with RJD, with his own party, In The Quest to win Bihar Elections! Nice Party-Hopping @YashwantSinha ! His own son was an Union Minister, himself was an Union Minister in the Bharat Ratna Late Vajpayeeji's Cabinet!Unsatisfied!",,
@DilipGhoshBJP Berger Paints may invest Rs 100 crore in West Bengal's Panagarh industrial park https://t.co/SD5i7e9awa via @Realty_Et,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,Patna Bihar
"@AmitShah @YashwantSinha @narendramodi @AmitShahOffice @DilipGhoshBJP @drmmjoshibjp @MenonArvindBJP @KailashOnline @amitmalviya @keyakahe A Few Months Earlier The very Same Guy was associated with RJD, with his own party, In The Quest to win Bihar Elections! Nice Party-Hopping @YashwantSinha ! His own son was an Union Minister, himself was an Union Minister in the Bharat Ratna Late Vajpayeeji's Cabinet!Unsatisfied!",,
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,ranchi
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,Akhand Bharat Atulya Bharat
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,"Maharashtra, India"
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,
"RT @abhishekaitc: .@BJP4Bengal Brace yourselves to see the power of people of BENGAL on Sunday, May 2nd.

Get READY!!! https://t.co/dg6bw1T…",,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,বাংলা
