Tweet,Geo,Location
"Owaisi works for BJP, says former West Bengal MIM chief 

After losing a chance to close the deal with Furfura Sharif cleric Abbas Siddiqui, AIMIM is purportedly not likely to contest West Bengal elections. 

https://t.co/PC0EgCbLM3",,
"RT @PragyaSingh: If you thought you knew what Abbas Siddiqui and Furfura Sharif are all about, read this. 

https://t.co/la47EyR8Zn",,
@CPIM_WESTBENGAL By d way who's Abbas Siddique????,,"Kolkata, India"
"RT @bhasaby: Cong is allying with Badruddin Ajmal/AIDUF in Assam, it has alliance with IUML in Kerala and now it's allying with Furfura Sha…",,
"@Malcolm_Returns @CrescentDome @MabarSultanate @dunekhaal @amjedmbt I don't know about Nuh Keller but know about Siddiqui's #Furfura &amp; #ISF
Saw how observer Majid lavishly frittered money and corporators asked for bribe.
Now they are absconding the workers who fought, got harassed and jailed.
Can't tell everything right now. In Sha Allah will.",,"Kotchandpur, Bangladesh"
"@gopalkagarwal @INCIndia It doesn’t end at that... In #Bengal for Congress, #ISF led by #Furfura Hatemonger is #Secular

Even worse, in #Telangana even #Razakar Party #AIMIM is Secular... In #Assam the Illegal Immigrants Party led by #Ajmal is also Secular.

1st name of #Congress shld be HYPOCRISY...!!!",,New Delhi
@vasudha_ET Where is ISF &amp; self proclaimed king maker abbas siddique.....few weeks back he was claiming to contest &amp; win 50+ seat,, India 
"RT @bhasaby: Cong is allying with Badruddin Ajmal/AIDUF in Assam, it has alliance with IUML in Kerala and now it's allying with Furfura Sha…",,
"RT @sharmasupriya: The best thing about election reportage is that it creates a window for telling stories that otherwise never get told

F…",,"New Delhi, India"
"RT @sharmasupriya: The best thing about election reportage is that it creates a window for telling stories that otherwise never get told

F…",,Delhi
"RT @sharmasupriya: The best thing about election reportage is that it creates a window for telling stories that otherwise never get told

F…",,
"RT @sharmasupriya: The best thing about election reportage is that it creates a window for telling stories that otherwise never get told

F…",,
"RT @sharmasupriya: The best thing about election reportage is that it creates a window for telling stories that otherwise never get told

F…",,India
"The best thing about election reportage is that it creates a window for telling stories that otherwise never get told

For instance, the influence of Furfura Sharif – fascinating piece by @ShoaibDaniyal 

https://t.co/PbAoY49PsK",,India
"The Congress ruled Bengal for more than two decades since independence , but now the situation is that it is in a coilation with once political enemies , the leftists and Pirzada Abbas of Furfura Sharif. Similar is the situation with the CPI (M) -led Left Front.",,Bharat
"Will Furfura’s stronghold over the Muslims of South Bengal convert into votes – thus undercutting TMC’s support base? Or will Mamata Banerjee’s appeal hold fort?

ISF’s emergence captures some of the churn that the state’s rural Muslims are experiencing https://t.co/Z6xUra1Fme",,"New Delhi, India"
@sankrant Oh We understand which is why Furfura Sharief's bigoted chief Abbas named his party Indian Secular Front (ISF) &amp; AIMIM &amp; IUML which both have Muslim word proudly displayed so there is no confusion for the Momins are hard core seculars while BJP remains communal !,,
"RT @sourav_sngupta: Indian secular front or ISF, the new outfit flown by a seer of Furfura Sharif will be fighting this assembly election u…",,
"Indian secular front or ISF, the new outfit flown by a seer of Furfura Sharif will be fighting this assembly election under Rashtriya secular Majlish party's banner which is actually a Bihar based political party.There will be no candidate under ISF's name
https://t.co/X1xmmpuqHc",,"Kolkata, India"
"Congress has tied up with Indian Union Muslim League in Kerala, with Badruddin Ajmal in Assam, and with Furfura Sharif cleric Abbas Siddiqui in West Bengal. “The Congress can go to any extent to win votes,” Amit Shah said.

https://t.co/eTAXxG4cBf",,
@heminchampaneri @indiandoctor91 @free_thinker Just like CPIM and furfura sharief's Pirzyada Abbas siddique opened and morcha😅🤣🤣,,"Kolkata, India"
West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats - The Hindu https://t.co/f3BKzTGb5B #WestBengal,,"Kolkota, West Bengal"
"West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats 
                The party said that it announced the names of 20 candidates from among the 26 seats for which it has an alliance with the Left Front
             https://t.co/Lyu3Za6Sug #ne…",,"Jaipur, India"
Bengal polls: Abbas Siddique’s ISF broadcasts candidates for 20 seats https://t.co/JrgZNaTJyH,,Mumbai
West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats https://t.co/RxIygFpT4P,,D
Bengal polls: Abbas Siddique’s ISF announces candidates for 20 seats https://t.co/EXpBB6bBKh,,
"Bengal polls: Abbas Siddique's ISF announces candidates for 20 seats 
#BengalElections2021 #WestBengalElection2021 #AbbasSiddiqui #ISF 

https://t.co/bIymPYJF6v",,India
West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats https://t.co/7z6j4sZ9CM,,"PB03,AjitRoad"
West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats https://t.co/00mtbotFuy,,Patiala
West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats https://t.co/YRZIWr19tD,,Worldwide
West Bengal Assembly elections | Abbas Siddique’s ISF announces candidates for 20 seats https://t.co/eyiMDWdUdY,,surat
"Abbas Siddiqui’s ISF releases names of 20 candidates for West Bengal elections https://t.co/yFWy4J63Nj The Indian Secular Front (ISF), led by Furfura Sharif cleric Abbas Siddiqui, on Sunday released the names of 20 candidates who will contest the West B",,"Portland, OR"
Hundreds of supporters of Peerzada Abbas Siddiqui of Furfura Sharif leave Indian secular front and join @AITCofficial. The game is on. Khela shuru.,,
"@virsanghvi Nobody shud criticize us..We are 135 yrs old party..

Arrogance of 1947 to 2004 is still there..☺️

But when 135 yr old party has to ally with 
ISF (Abbas Siddique)

Then there's no need to show them the mirror..

Let them rot in their own hell..!!!

@JhaSanjay",,mumbai.india
We are now accepting bulk orders of Enhypen B:DO. Can ship to Korean Add basta 100 pcs but take note na same price parin and add SF fee. Di kasi ako nag add ng isf sa batch 5.,,Est. 2021
"Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc will be giving candidate against ISF in Panchla.
- in Baghmundi Seat Forward Bloc will give candidate against Congress.

#BengalElections2021",,India
"RT @desibhakthoon: Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc…",,India
@SubhashiniAli @chhuti_is @amitmalviya @BJP4India @ECISVEEP @cpimspeak @INCIndia @SaralPatel Posters claim CPIM is working for a Hindu free nation. Disinformation designed to look like party appeal for votes,,
"RT @desibhakthoon: Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc…",,🇮🇳
RT @aakashnayyar95: Sometimes I wonder How do Communists @cpimspeak who are anti religion align with Congress in Bengal whom they principal…,,Delhi
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,"New Delhi, India"
"RT @SunnyHolly7: BE lucky draw jpn= 2300 + isf + lsf
= ~2,800
BE lucky draw kr = 2800 all in + lsf

VS

Memories of 2020 (with on:e concert…",,🇵🇭 • she/her
"RT @doolsetPH: #DoolSetPHPasabuy 
🏷 help rt bts army bomb map of the soul special edition lightstick wts wtb lfs lfb ph

AB MOTS SE
• fast…",,QC / LP
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,Khagaria (Bihar)
